수족관 | 유래혁
평행우주 | 미치오 카쿠
명상록 | 마르쿠스 아우렐리우스
하우스메이드 | 프리다 맥파든
세상은 실제로 어떻게 돌아가는가 | 바츨라프 스밀
나는 소망한다 내게 금지된 것을 | 양귀자
물고기는 존재하지 않는다 | 룰루 밀러
절창 | 구병모
괴테는 모든것을 말했다 | 스즈키 유이
사랑의 기술 | 에리히 프롬
싯다르타 | 헤르만 헤세
안녕이라 그랬어 | 김애란
장미와나이프 | 히가시노 게이고
데미안 | 헤르만 헤세
연매장 | 팡팡
제노사이드 | 다카노 가즈아키
작별하지 않는다 | 한강
긴키지방의 어느 장소에 대하여 | 세스지
가족 살인 | 카라 헌터
왜 당신은 태도가 아니라 인생을 탓하는가 | 고윤
죽은 왕녀를 위한 파반느 | 박민규
무례한 세상에서 나를 지키는 법 | 발타자르 그라시안
유령해마 | 문목하
나는 입이없다 그리고 나는 비명을 질러야한다 | 할란 엘리슨
나의 완벽한 장례식 | 조현선
거의 모든 것의 역사 | 빌 브라이슨
달과 6펜스 | 서머싯 몸
해가 지는 곳으로 | 최진영
니체의 초월자 | 프리드리히 니체
